IP地址,数据中心,地区,城市,网络延迟
104.16.57.234,SJC,北美洲,圣何塞,146 ms
162.159.138.106,SJC,北美洲,圣何塞,146 ms
104.19.233.31,SJC,北美洲,圣何塞,147 ms
104.18.170.39,SJC,北美洲,圣何塞,147 ms
195.85.59.201,SJC,北美洲,圣何塞,147 ms
1.0.0.107,SJC,北美洲,圣何塞,147 ms
104.17.250.62,SJC,北美洲,圣何塞,147 ms
104.16.225.120,SJC,北美洲,圣何塞,147 ms
104.17.221.242,SJC,北美洲,圣何塞,147 ms
198.41.205.122,SJC,北美洲,圣何塞,147 ms
104.17.233.187,SJC,北美洲,圣何塞,147 ms
1.1.1.26,SJC,北美洲,圣何塞,147 ms
1.1.1.74,SJC,北美洲,圣何塞,147 ms
104.18.193.188,SJC,北美洲,圣何塞,147 ms
104.16.1.6,SJC,北美洲,圣何塞,147 ms
104.17.60.14,SJC,北美洲,圣何塞,147 ms
104.16.85.154,SJC,北美洲,圣何塞,147 ms
104.17.242.29,SJC,北美洲,圣何塞,147 ms
1.1.1.22,SJC,北美洲,圣何塞,147 ms
193.227.99.149,SJC,北美洲,圣何塞,147 ms
104.18.204.220,SJC,北美洲,圣何塞,147 ms
104.16.151.10,SJC,北美洲,圣何塞,147 ms
45.159.218.6,SJC,北美洲,圣何塞,147 ms
1.0.0.47,SJC,北美洲,圣何塞,147 ms
188.244.122.87,SJC,北美洲,圣何塞,147 ms
185.162.230.198,SJC,北美洲,圣何塞,147 ms
185.251.82.105,SJC,北美洲,圣何塞,147 ms
104.16.148.152,SJC,北美洲,圣何塞,147 ms
104.19.177.16,SJC,北美洲,圣何塞,147 ms
1.1.1.116,SJC,北美洲,圣何塞,147 ms
1.0.0.17,SJC,北美洲,圣何塞,147 ms
172.64.230.8,SJC,北美洲,圣何塞,147 ms
104.17.252.236,SJC,北美洲,圣何塞,147 ms
104.17.245.47,SJC,北美洲,圣何塞,147 ms
104.16.155.123,SJC,北美洲,圣何塞,147 ms
104.18.167.100,SJC,北美洲,圣何塞,147 ms
176.124.223.42,SJC,北美洲,圣何塞,147 ms
1.1.1.136,SJC,北美洲,圣何塞,147 ms
45.131.208.228,SJC,北美洲,圣何塞,147 ms
104.16.255.233,SJC,北美洲,圣何塞,148 ms
162.159.143.175,SJC,北美洲,圣何塞,148 ms
104.18.139.213,SJC,北美洲,圣何塞,148 ms
1.1.1.205,SJC,北美洲,圣何塞,148 ms
104.18.48.6,SJC,北美洲,圣何塞,148 ms
104.18.2.109,SJC,北美洲,圣何塞,148 ms
104.16.226.233,SJC,北美洲,圣何塞,148 ms
104.16.11.0,SJC,北美洲,圣何塞,148 ms
104.16.108.215,SJC,北美洲,圣何塞,148 ms
1.1.1.31,SJC,北美洲,圣何塞,148 ms
1.1.1.234,SJC,北美洲,圣何塞,148 ms
104.18.184.191,SJC,北美洲,圣何塞,148 ms
104.16.130.165,SJC,北美洲,圣何塞,148 ms
104.17.99.21,SJC,北美洲,圣何塞,148 ms
104.18.164.228,SJC,北美洲,圣何塞,148 ms
77.74.228.154,SJC,北美洲,圣何塞,148 ms
162.159.48.149,SJC,北美洲,圣何塞,148 ms
104.18.14.122,SJC,北美洲,圣何塞,148 ms
104.19.115.96,SJC,北美洲,圣何塞,148 ms
104.16.252.171,SJC,北美洲,圣何塞,148 ms
162.159.24.93,SJC,北美洲,圣何塞,148 ms
104.17.100.74,SJC,北美洲,圣何塞,148 ms
104.16.90.107,SJC,北美洲,圣何塞,148 ms
45.8.211.94,SJC,北美洲,圣何塞,148 ms
91.193.58.66,SJC,北美洲,圣何塞,148 ms
104.19.221.76,SJC,北美洲,圣何塞,148 ms
1.1.1.183,SJC,北美洲,圣何塞,148 ms
185.193.30.22,SJC,北美洲,圣何塞,148 ms
198.41.217.66,SJC,北美洲,圣何塞,148 ms
104.17.171.240,SJC,北美洲,圣何塞,148 ms
172.65.225.103,SJC,北美洲,圣何塞,148 ms
104.16.68.4,SJC,北美洲,圣何塞,148 ms
104.16.138.196,SJC,北美洲,圣何塞,148 ms
104.16.81.251,SJC,北美洲,圣何塞,148 ms
104.18.246.19,SJC,北美洲,圣何塞,148 ms
104.18.37.9,SJC,北美洲,圣何塞,148 ms
104.17.219.14,SJC,北美洲,圣何塞,148 ms
104.18.96.117,SJC,北美洲,圣何塞,148 ms
104.19.232.177,SJC,北美洲,圣何塞,148 ms
1.0.0.0,SJC,北美洲,圣何塞,148 ms
104.16.3.86,SJC,北美洲,圣何塞,148 ms
104.19.167.48,SJC,北美洲,圣何塞,148 ms
104.16.196.231,SJC,北美洲,圣何塞,148 ms
1.1.1.130,SJC,北美洲,圣何塞,148 ms
104.16.200.29,SJC,北美洲,圣何塞,148 ms
172.64.34.0,SJC,北美洲,圣何塞,148 ms
1.1.1.98,SJC,北美洲,圣何塞,148 ms
104.16.248.15,SJC,北美洲,圣何塞,148 ms
104.17.29.84,SJC,北美洲,圣何塞,148 ms
104.16.93.33,SJC,北美洲,圣何塞,148 ms
104.19.234.217,SJC,北美洲,圣何塞,148 ms
162.159.137.25,SJC,北美洲,圣何塞,148 ms
104.16.203.219,SJC,北美洲,圣何塞,148 ms
104.16.52.92,SJC,北美洲,圣何塞,148 ms
172.65.214.86,SJC,北美洲,圣何塞,148 ms
1.1.1.26,SJC,北美洲,圣何塞,148 ms
104.19.150.168,SJC,北美洲,圣何塞,148 ms
104.19.95.18,SJC,北美洲,圣何塞,149 ms
104.19.4.55,SJC,北美洲,圣何塞,149 ms
104.17.124.104,SJC,北美洲,圣何塞,149 ms
104.16.227.71,SJC,北美洲,圣何塞,149 ms
104.16.145.93,SJC,北美洲,圣何塞,149 ms
104.16.243.44,SJC,北美洲,圣何塞,149 ms
1.1.1.50,SJC,北美洲,圣何塞,149 ms
104.18.191.211,SJC,北美洲,圣何塞,149 ms
45.85.118.92,SJC,北美洲,圣何塞,149 ms
104.16.77.242,SJC,北美洲,圣何塞,149 ms
104.18.173.50,SJC,北美洲,圣何塞,149 ms
185.176.26.115,SJC,北美洲,圣何塞,149 ms
104.16.14.40,SJC,北美洲,圣何塞,149 ms
104.17.205.164,SJC,北美洲,圣何塞,149 ms
1.0.0.103,SJC,北美洲,圣何塞,149 ms
104.18.251.45,SJC,北美洲,圣何塞,149 ms
104.17.238.159,SJC,北美洲,圣何塞,149 ms
1.0.0.181,SJC,北美洲,圣何塞,149 ms
104.16.237.77,SJC,北美洲,圣何塞,149 ms
104.16.152.29,SJC,北美洲,圣何塞,149 ms
104.18.233.145,SJC,北美洲,圣何塞,149 ms
104.16.111.1,SJC,北美洲,圣何塞,149 ms
1.1.1.145,SJC,北美洲,圣何塞,149 ms
104.16.185.169,SJC,北美洲,圣何塞,149 ms
104.16.97.38,SJC,北美洲,圣何塞,149 ms
104.18.178.95,SJC,北美洲,圣何塞,149 ms
192.65.217.212,SJC,北美洲,圣何塞,149 ms
104.19.50.26,SJC,北美洲,圣何塞,149 ms
23.247.163.4,SJC,北美洲,圣何塞,149 ms
104.18.195.105,SJC,北美洲,圣何塞,149 ms
104.19.75.45,SJC,北美洲,圣何塞,149 ms
1.0.0.168,SJC,北美洲,圣何塞,149 ms
1.1.1.91,SJC,北美洲,圣何塞,149 ms
1.0.0.226,SJC,北美洲,圣何塞,149 ms
104.19.84.67,SJC,北美洲,圣何塞,149 ms
162.159.13.200,SJC,北美洲,圣何塞,149 ms
1.1.1.97,SJC,北美洲,圣何塞,149 ms
104.18.156.68,SJC,北美洲,圣何塞,149 ms
104.16.190.37,SJC,北美洲,圣何塞,149 ms
104.16.100.235,SJC,北美洲,圣何塞,149 ms
1.1.1.140,SJC,北美洲,圣何塞,149 ms
104.16.165.166,SJC,北美洲,圣何塞,149 ms
104.16.228.222,SJC,北美洲,圣何塞,149 ms
104.17.215.155,SJC,北美洲,圣何塞,149 ms
45.81.58.123,SJC,北美洲,圣何塞,149 ms
104.16.166.167,SJC,北美洲,圣何塞,149 ms
104.16.103.242,SJC,北美洲,圣何塞,149 ms
104.19.229.198,SJC,北美洲,圣何塞,149 ms
104.17.121.118,SJC,北美洲,圣何塞,149 ms
1.1.1.141,SJC,北美洲,圣何塞,149 ms
1.1.1.62,SJC,北美洲,圣何塞,149 ms
1.0.0.113,SJC,北美洲,圣何塞,149 ms
104.16.207.247,SJC,北美洲,圣何塞,149 ms
104.17.148.239,SJC,北美洲,圣何塞,149 ms
104.18.144.13,SJC,北美洲,圣何塞,149 ms
104.17.160.75,SJC,北美洲,圣何塞,149 ms
104.19.157.181,SJC,北美洲,圣何塞,149 ms
104.17.38.190,SJC,北美洲,圣何塞,149 ms
104.18.148.230,SJC,北美洲,圣何塞,149 ms
104.18.105.114,SJC,北美洲,圣何塞,149 ms
104.16.110.109,SJC,北美洲,圣何塞,149 ms
1.0.0.168,SJC,北美洲,圣何塞,149 ms
104.16.75.178,SJC,北美洲,圣何塞,149 ms
104.16.129.148,SJC,北美洲,圣何塞,149 ms
198.41.211.83,SJC,北美洲,圣何塞,149 ms
104.16.71.221,SJC,北美洲,圣何塞,149 ms
104.18.227.55,SJC,北美洲,圣何塞,149 ms
104.17.97.98,SJC,北美洲,圣何塞,149 ms
1.1.1.164,SJC,北美洲,圣何塞,149 ms
1.1.1.109,SJC,北美洲,圣何塞,149 ms
198.41.203.123,SJC,北美洲,圣何塞,149 ms
104.19.179.150,SJC,北美洲,圣何塞,149 ms
1.0.0.118,SJC,北美洲,圣何塞,149 ms
104.16.171.126,SJC,北美洲,圣何塞,149 ms
172.64.81.53,SJC,北美洲,圣何塞,149 ms
94.242.228.85,SJC,北美洲,圣何塞,149 ms
104.16.205.142,SJC,北美洲,圣何塞,149 ms
104.18.210.229,SJC,北美洲,圣何塞,149 ms
88.216.66.87,SJC,北美洲,圣何塞,149 ms
104.18.187.43,SJC,北美洲,圣何塞,149 ms
104.16.54.78,SJC,北美洲,圣何塞,150 ms
195.85.23.73,SJC,北美洲,圣何塞,150 ms
198.41.220.252,SJC,北美洲,圣何塞,150 ms
104.18.136.63,SJC,北美洲,圣何塞,150 ms
45.95.241.175,SJC,北美洲,圣何塞,150 ms
89.116.46.14,SJC,北美洲,圣何塞,150 ms
1.1.1.9,SJC,北美洲,圣何塞,150 ms
104.16.238.179,SJC,北美洲,圣何塞,150 ms
162.159.49.166,SJC,北美洲,圣何塞,150 ms
104.18.158.200,SJC,北美洲,圣何塞,150 ms
104.18.84.38,SJC,北美洲,圣何塞,150 ms
104.17.115.26,SJC,北美洲,圣何塞,150 ms
104.16.253.47,SJC,北美洲,圣何塞,150 ms
104.17.227.14,SJC,北美洲,圣何塞,150 ms
1.1.1.255,SJC,北美洲,圣何塞,150 ms
104.18.91.111,SJC,北美洲,圣何塞,150 ms
1.1.1.78,SJC,北美洲,圣何塞,150 ms
162.159.128.107,SJC,北美洲,圣何塞,150 ms
162.159.207.45,SJC,北美洲,圣何塞,150 ms
1.0.0.107,SJC,北美洲,圣何塞,150 ms
104.16.177.213,SJC,北美洲,圣何塞,150 ms
104.17.220.205,SJC,北美洲,圣何塞,150 ms
185.18.250.107,SJC,北美洲,圣何塞,150 ms
104.19.153.195,SJC,北美洲,圣何塞,150 ms
104.16.163.163,SJC,北美洲,圣何塞,150 ms
104.16.162.145,SJC,北美洲,圣何塞,150 ms
104.19.154.23,SJC,北美洲,圣何塞,150 ms
104.18.209.62,SJC,北美洲,圣何塞,150 ms
104.17.181.115,SJC,北美洲,圣何塞,150 ms
172.64.149.30,SJC,北美洲,圣何塞,150 ms
104.19.202.117,SJC,北美洲,圣何塞,150 ms
104.18.226.0,SJC,北美洲,圣何塞,150 ms
1.0.0.138,SJC,北美洲,圣何塞,150 ms
1.0.0.117,SJC,北美洲,圣何塞,150 ms
104.16.175.104,SJC,北美洲,圣何塞,150 ms
104.16.107.29,SJC,北美洲,圣何塞,150 ms
1.1.1.68,SJC,北美洲,圣何塞,150 ms
104.19.169.35,SJC,北美洲,圣何塞,150 ms
104.16.135.193,SJC,北美洲,圣何塞,150 ms
104.18.205.232,SJC,北美洲,圣何塞,150 ms
104.16.73.44,SJC,北美洲,圣何塞,150 ms
172.64.147.30,SJC,北美洲,圣何塞,150 ms
77.232.140.242,SJC,北美洲,圣何塞,150 ms
1.1.1.157,SJC,北美洲,圣何塞,150 ms
1.1.1.34,SJC,北美洲,圣何塞,150 ms
141.101.114.0,SJC,北美洲,圣何塞,150 ms
104.19.107.191,SJC,北美洲,圣何塞,150 ms
45.159.216.75,SJC,北美洲,圣何塞,150 ms
1.1.1.233,SJC,北美洲,圣何塞,150 ms
104.16.229.167,SJC,北美洲,圣何塞,150 ms
104.17.157.97,SJC,北美洲,圣何塞,150 ms
104.17.35.253,SJC,北美洲,圣何塞,150 ms
104.17.170.122,SJC,北美洲,圣何塞,150 ms
104.18.140.121,SJC,北美洲,圣何塞,150 ms
102.177.189.139,SJC,北美洲,圣何塞,150 ms
88.216.67.148,SJC,北美洲,圣何塞,150 ms
1.1.1.209,SJC,北美洲,圣何塞,150 ms
104.16.53.116,SJC,北美洲,圣何塞,150 ms
104.16.49.234,SJC,北美洲,圣何塞,150 ms
108.162.194.94,SJC,北美洲,圣何塞,150 ms
104.17.34.180,SJC,北美洲,圣何塞,150 ms
104.16.234.208,SJC,北美洲,圣何塞,150 ms
104.18.200.87,SJC,北美洲,圣何塞,150 ms
1.0.0.5,SJC,北美洲,圣何塞,150 ms
45.12.31.25,SJC,北美洲,圣何塞,150 ms
1.0.0.115,SJC,北美洲,圣何塞,150 ms
104.16.80.235,SJC,北美洲,圣何塞,150 ms
69.48.218.130,SJC,北美洲,圣何塞,150 ms
172.65.215.2,SJC,北美洲,圣何塞,150 ms
104.17.195.113,SJC,北美洲,圣何塞,150 ms
104.16.8.208,SJC,北美洲,圣何塞,150 ms
104.16.15.249,SJC,北美洲,圣何塞,150 ms
104.16.204.123,SJC,北美洲,圣何塞,150 ms
162.159.22.189,SJC,北美洲,圣何塞,150 ms
104.16.79.145,SJC,北美洲,圣何塞,150 ms
181.214.1.203,SJC,北美洲,圣何塞,150 ms
1.1.1.193,SJC,北美洲,圣何塞,150 ms
185.251.83.221,SJC,北美洲,圣何塞,150 ms
172.64.42.81,SJC,北美洲,圣何塞,150 ms
86.38.214.79,SJC,北美洲,圣何塞,150 ms
1.0.0.174,SJC,北美洲,圣何塞,150 ms
172.64.53.158,SJC,北美洲,圣何塞,150 ms
104.17.196.203,SJC,北美洲,圣何塞,150 ms
104.16.105.73,SJC,北美洲,圣何塞,150 ms
104.16.137.63,SJC,北美洲,圣何塞,150 ms
104.17.114.214,SJC,北美洲,圣何塞,150 ms
159.112.235.123,SJC,北美洲,圣何塞,150 ms
104.17.39.204,SJC,北美洲,圣何塞,150 ms
172.66.1.114,SJC,北美洲,圣何塞,150 ms
104.17.241.69,SJC,北美洲,圣何塞,150 ms
104.16.188.229,SJC,北美洲,圣何塞,150 ms
172.64.84.186,SJC,北美洲,圣何塞,150 ms
104.17.12.75,SJC,北美洲,圣何塞,150 ms
1.1.1.152,SJC,北美洲,圣何塞,150 ms
1.0.0.56,SJC,北美洲,圣何塞,150 ms
104.16.179.52,SJC,北美洲,圣何塞,150 ms
104.16.244.110,SJC,北美洲,圣何塞,150 ms
104.17.116.93,SJC,北美洲,圣何塞,150 ms
104.19.193.119,SJC,北美洲,圣何塞,150 ms
1.1.1.36,SJC,北美洲,圣何塞,150 ms
1.1.1.174,SJC,北美洲,圣何塞,150 ms
104.16.69.184,SJC,北美洲,圣何塞,150 ms
104.18.44.37,SJC,北美洲,圣何塞,150 ms
104.16.144.174,SJC,北美洲,圣何塞,150 ms
104.18.165.165,SJC,北美洲,圣何塞,150 ms
162.251.82.220,SJC,北美洲,圣何塞,150 ms
104.18.8.44,SJC,北美洲,圣何塞,150 ms
104.19.188.65,SJC,北美洲,圣何塞,150 ms
104.19.189.215,SJC,北美洲,圣何塞,150 ms
172.64.48.128,SJC,北美洲,圣何塞,150 ms
104.19.223.137,SJC,北美洲,圣何塞,151 ms
1.0.0.134,SJC,北美洲,圣何塞,151 ms
104.16.22.155,SJC,北美洲,圣何塞,151 ms
104.16.191.57,SJC,北美洲,圣何塞,151 ms
104.18.192.115,SJC,北美洲,圣何塞,151 ms
1.1.1.89,SJC,北美洲,圣何塞,151 ms
104.18.163.164,SJC,北美洲,圣何塞,151 ms
1.1.1.34,SJC,北美洲,圣何塞,151 ms
1.1.1.194,SJC,北美洲,圣何塞,151 ms
1.1.1.169,SJC,北美洲,圣何塞,151 ms
194.59.5.15,SJC,北美洲,圣何塞,151 ms
104.17.55.9,SJC,北美洲,圣何塞,151 ms
172.65.222.130,CDG,欧洲,巴黎,151 ms
172.64.94.49,SJC,北美洲,圣何塞,151 ms
1.0.0.95,SJC,北美洲,圣何塞,151 ms
172.64.50.130,SJC,北美洲,圣何塞,151 ms
104.19.187.181,SJC,北美洲,圣何塞,151 ms
104.16.161.162,SJC,北美洲,圣何塞,151 ms
1.1.1.66,SJC,北美洲,圣何塞,151 ms
104.19.158.225,SJC,北美洲,圣何塞,151 ms
203.22.241.95,SJC,北美洲,圣何塞,151 ms
45.159.219.191,SJC,北美洲,圣何塞,151 ms
45.194.53.151,SJC,北美洲,圣何塞,151 ms
1.1.1.154,SJC,北美洲,圣何塞,151 ms
104.19.44.91,SJC,北美洲,圣何塞,151 ms
172.64.93.162,SJC,北美洲,圣何塞,151 ms
104.16.9.12,SJC,北美洲,圣何塞,151 ms
104.19.174.213,SJC,北美洲,圣何塞,151 ms
1.1.1.88,SJC,北美洲,圣何塞,151 ms
104.16.134.139,SJC,北美洲,圣何塞,151 ms
1.1.1.88,SJC,北美洲,圣何塞,151 ms
162.159.134.53,SJC,北美洲,圣何塞,151 ms
104.18.198.101,SJC,北美洲,圣何塞,151 ms
104.19.170.48,SJC,北美洲,圣何塞,151 ms
104.18.238.5,SJC,北美洲,圣何塞,151 ms
104.16.197.113,SJC,北美洲,圣何塞,151 ms
104.17.86.107,SJC,北美洲,圣何塞,151 ms
23.227.60.69,SJC,北美洲,圣何塞,151 ms
104.19.163.92,SJC,北美洲,圣何塞,151 ms
104.17.24.40,SJC,北美洲,圣何塞,151 ms
1.1.1.106,SJC,北美洲,圣何塞,151 ms
104.18.186.182,SJC,北美洲,圣何塞,151 ms
104.19.182.76,SJC,北美洲,圣何塞,151 ms
172.64.52.109,SJC,北美洲,圣何塞,151 ms
92.53.189.161,SJC,北美洲,圣何塞,151 ms
185.174.138.174,SJC,北美洲,圣何塞,151 ms
104.17.126.112,SJC,北美洲,圣何塞,151 ms
172.64.95.219,SJC,北美洲,圣何塞,151 ms
1.1.1.79,SJC,北美洲,圣何塞,151 ms
104.18.13.110,SJC,北美洲,圣何塞,151 ms
104.19.200.7,SJC,北美洲,圣何塞,151 ms
104.17.105.185,SJC,北美洲,圣何塞,151 ms
172.64.35.195,SJC,北美洲,圣何塞,151 ms
104.16.230.85,SJC,北美洲,圣何塞,151 ms
1.1.1.15,SJC,北美洲,圣何塞,151 ms
104.19.219.134,SJC,北美洲,圣何塞,151 ms
104.17.249.233,SJC,北美洲,圣何塞,151 ms
104.17.248.252,SJC,北美洲,圣何塞,151 ms
185.159.247.92,SJC,北美洲,圣何塞,151 ms
1.0.0.155,SJC,北美洲,圣何塞,151 ms
1.1.1.127,SJC,北美洲,圣何塞,151 ms
104.16.241.254,SJC,北美洲,圣何塞,151 ms
1.1.1.166,SJC,北美洲,圣何塞,151 ms
104.19.217.14,SJC,北美洲,圣何塞,151 ms
104.18.161.14,SJC,北美洲,圣何塞,151 ms
104.17.239.4,SJC,北美洲,圣何塞,151 ms
1.0.0.155,SJC,北美洲,圣何塞,151 ms
1.0.0.112,SJC,北美洲,圣何塞,151 ms
1.0.0.113,SJC,北美洲,圣何塞,151 ms
104.16.131.158,SJC,北美洲,圣何塞,151 ms
104.16.132.208,SJC,北美洲,圣何塞,151 ms
45.131.210.158,SJC,北美洲,圣何塞,151 ms
1.1.1.86,SJC,北美洲,圣何塞,151 ms
1.0.0.206,SJC,北美洲,圣何塞,151 ms
104.18.175.80,SJC,北美洲,圣何塞,151 ms
104.18.176.9,SJC,北美洲,圣何塞,151 ms
104.17.93.174,SJC,北美洲,圣何塞,151 ms
198.41.193.161,SJC,北美洲,圣何塞,151 ms
1.1.1.172,SJC,北美洲,圣何塞,151 ms
198.41.202.143,SJC,北美洲,圣何塞,151 ms
172.66.3.133,SJC,北美洲,圣何塞,151 ms
104.17.155.2,SJC,北美洲,圣何塞,151 ms
104.16.201.157,SJC,北美洲,圣何塞,151 ms
1.1.1.142,SJC,北美洲,圣何塞,151 ms
104.17.167.193,SJC,北美洲,圣何塞,151 ms
104.16.192.5,SJC,北美洲,圣何塞,151 ms
104.16.251.45,SJC,北美洲,圣何塞,151 ms
1.1.1.181,SJC,北美洲,圣何塞,151 ms
1.1.1.19,SJC,北美洲,圣何塞,151 ms
162.159.14.221,SJC,北美洲,圣何塞,151 ms
104.18.157.102,SJC,北美洲,圣何塞,151 ms
104.17.11.253,SJC,北美洲,圣何塞,151 ms
104.17.63.36,SJC,北美洲,圣何塞,151 ms
104.16.149.152,SJC,北美洲,圣何塞,151 ms
104.17.1.62,SJC,北美洲,圣何塞,151 ms
104.16.88.171,SJC,北美洲,圣何塞,151 ms
104.19.237.47,SJC,北美洲,圣何塞,151 ms
104.18.215.102,SJC,北美洲,圣何塞,151 ms
104.19.121.149,SJC,北美洲,圣何塞,151 ms
104.17.82.191,SJC,北美洲,圣何塞,151 ms
162.159.40.22,SJC,北美洲,圣何塞,151 ms
104.16.94.238,SJC,北美洲,圣何塞,151 ms
104.16.19.200,SJC,北美洲,圣何塞,151 ms
1.0.0.6,SJC,北美洲,圣何塞,151 ms
1.1.1.97,SJC,北美洲,圣何塞,151 ms
198.41.195.90,SJC,北美洲,圣何塞,151 ms
104.17.48.103,SJC,北美洲,圣何塞,151 ms
1.0.0.113,SJC,北美洲,圣何塞,151 ms
104.16.59.140,SJC,北美洲,圣何塞,151 ms
1.0.0.184,SJC,北美洲,圣何塞,151 ms
104.16.199.3,SJC,北美洲,圣何塞,151 ms
104.18.137.56,SJC,北美洲,圣何塞,151 ms
141.101.115.245,SJC,北美洲,圣何塞,151 ms
104.19.46.89,SJC,北美洲,圣何塞,151 ms
1.1.1.23,SJC,北美洲,圣何塞,151 ms
104.18.177.129,SJC,北美洲,圣何塞,151 ms
104.17.4.45,SJC,北美洲,圣何塞,151 ms
104.17.127.34,SJC,北美洲,圣何塞,151 ms
104.19.147.212,SJC,北美洲,圣何塞,151 ms
104.16.62.5,SJC,北美洲,圣何塞,151 ms
1.0.0.214,SJC,北美洲,圣何塞,151 ms
104.18.180.147,SJC,北美洲,圣何塞,151 ms
104.18.89.164,SJC,北美洲,圣何塞,151 ms
1.0.0.12,SJC,北美洲,圣何塞,151 ms
104.17.174.9,SJC,北美洲,圣何塞,151 ms
1.1.1.130,SJC,北美洲,圣何塞,151 ms
77.37.33.156,SJC,北美洲,圣何塞,151 ms
156.252.2.99,SJC,北美洲,圣何塞,151 ms
104.18.0.193,SJC,北美洲,圣何塞,151 ms
104.18.248.153,SJC,北美洲,圣何塞,151 ms
104.17.214.116,SJC,北美洲,圣何塞,151 ms
94.247.142.121,SJC,北美洲,圣何塞,151 ms
1.1.1.96,SJC,北美洲,圣何塞,151 ms
104.18.102.246,SJC,北美洲,圣何塞,151 ms
5.182.85.20,SJC,北美洲,圣何塞,152 ms
104.21.227.66,LAX,北美洲,洛杉矶,152 ms
104.18.103.60,SJC,北美洲,圣何塞,152 ms
66.235.200.187,SJC,北美洲,圣何塞,152 ms
198.41.223.245,SJC,北美洲,圣何塞,152 ms
205.233.181.58,SJC,北美洲,圣何塞,152 ms
185.193.31.24,SJC,北美洲,圣何塞,152 ms
104.17.212.154,SJC,北美洲,圣何塞,152 ms
104.17.254.181,SJC,北美洲,圣何塞,152 ms
104.17.168.95,SJC,北美洲,圣何塞,152 ms
162.159.5.195,SJC,北美洲,圣何塞,152 ms
198.41.206.122,SJC,北美洲,圣何塞,152 ms
14.102.228.4,SJC,北美洲,圣何塞,152 ms
104.16.249.53,SJC,北美洲,圣何塞,152 ms
162.159.25.120,SJC,北美洲,圣何塞,152 ms
1.1.1.27,SJC,北美洲,圣何塞,152 ms
162.159.33.136,SJC,北美洲,圣何塞,152 ms
1.0.0.172,SJC,北美洲,圣何塞,152 ms
104.18.252.115,SJC,北美洲,圣何塞,152 ms
1.1.1.213,SJC,北美洲,圣何塞,152 ms
1.0.0.79,SJC,北美洲,圣何塞,152 ms
104.19.161.242,SJC,北美洲,圣何塞,152 ms
104.17.164.218,SJC,北美洲,圣何塞,152 ms
104.16.87.91,SJC,北美洲,圣何塞,152 ms
104.16.89.253,SJC,北美洲,圣何塞,152 ms
104.16.195.189,SJC,北美洲,圣何塞,152 ms
89.117.112.143,SJC,北美洲,圣何塞,152 ms
104.17.217.152,SJC,北美洲,圣何塞,152 ms
94.242.231.125,SJC,北美洲,圣何塞,152 ms
94.140.0.8,SJC,北美洲,圣何塞,152 ms
89.47.56.251,SJC,北美洲,圣何塞,152 ms
1.0.0.81,SJC,北美洲,圣何塞,152 ms
141.11.202.64,SJC,北美洲,圣何塞,152 ms
1.0.0.181,SJC,北美洲,圣何塞,152 ms
1.0.0.145,SJC,北美洲,圣何塞,152 ms
162.159.1.248,SJC,北美洲,圣何塞,152 ms
104.17.3.56,SJC,北美洲,圣何塞,152 ms
1.1.1.243,SJC,北美洲,圣何塞,152 ms
162.159.32.157,SJC,北美洲,圣何塞,152 ms
